date,city,mean_rad,temp_max,rad_rolling,temp_rolling
2005-02-09,Agadir,6.5704400000000005,17.79,6.725376666666667,15.186666666666667
2005-02-10,Agadir,5.8849,20.44,6.365503333333334,17.39666666666667
2005-02-11,Agadir,7.1096,21.74,6.521646666666666,19.99
2005-02-12,Agadir,7.03876,21.67,6.6777533333333325,21.28333333333333
2005-02-13,Agadir,2.97482,18.75,5.707726666666667,20.72
2005-02-14,Agadir,6.32322,20.23,5.4456,20.21666666666667
2005-02-15,Agadir,7.55195,22.67,5.6166633333333325,20.55
2005-02-16,Agadir,5.09061,19.27,6.321926666666666,20.723333333333333
2005-02-17,Agadir,7.002470000000001,16.98,6.5483433333333325,19.64
2005-02-18,Agadir,7.20432,16.6,6.4324666666666666,17.616666666666667
2005-02-19,Agadir,7.75557,19.82,7.320786666666667,17.8
2005-02-20,Agadir,7.50496,20.43,7.488283333333332,18.95
2005-02-21,Agadir,7.785309999999999,18.21,7.681946666666666,19.486666666666668
2005-02-22,Agadir,7.8251,17.89,7.705123333333333,18.843333333333334
2005-02-23,Agadir,5.214360000000001,16.54,6.941590000000001,17.54666666666667
2005-02-24,Agadir,2.62791,15.02,5.222456666666667,16.483333333333334
2005-02-25,Agadir,5.8005,16.32,4.5475900000000005,15.96
2005-02-26,Agadir,7.28721,16.95,5.23854,16.096666666666668
2005-02-27,Agadir,2.33212,16.34,5.139943333333334,16.53666666666667
2005-02-28,Agadir,4.43651,16.44,4.68528,16.576666666666668
2005-03-01,Agadir,7.1376,13.95,4.63541,15.576666666666668
2005-03-02,Agadir,7.02195,15.68,6.198686666666667,15.35666666666667
2005-03-03,Agadir,1.42247,18.35,5.194006666666667,15.993333333333334
2005-03-04,Agadir,5.93357,16.08,4.7926633333333335,16.703333333333333
2005-03-05,Agadir,7.51914,16.68,4.958393333333333,17.03666666666667
2005-03-06,Agadir,7.98534,17.56,7.146016666666667,16.773333333333337
2005-03-07,Agadir,7.372190000000001,17.49,7.625556666666667,17.243333333333336
2005-03-08,Agadir,7.72091,20.13,7.692813333333333,18.39333333333333
2005-03-09,Agadir,5.37017,24.75,6.821090000000001,20.790000000000003
2005-03-10,Agadir,7.461699999999999,25.1,6.850926666666666,23.326666666666668
2005-03-11,Agadir,7.40808,25.01,6.74665,24.953333333333337
2005-03-12,Agadir,6.011270000000001,24.47,6.960350000000001,24.860000000000003
2005-03-13,Agadir,7.77896,18.5,7.066103333333333,22.66
2005-03-14,Agadir,7.44653,18.66,7.07892,20.543333333333333
2005-03-15,Agadir,7.5415,19.28,7.588996666666667,18.813333333333333
2005-03-16,Agadir,7.695279999999999,21.89,7.561103333333333,19.94333333333333
2005-03-17,Agadir,7.278059999999999,26.44,7.504946666666666,22.536666666666672
